knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K17435	26.07	full	all	0.998086	1116	1044	1478	251	10.72	0.590	large subunit ribosomal protein L54
K17436	66.53	full	all	0.992617	649	605	790	201	4.43	0.590	large subunit ribosomal protein L55
K17437	103.67	full	all	0.977273	131	129	691	333	3.33	0.590	large subunit ribosomal protein L15
K17438	56.57	domain	all	0.938812	162	156	1356	272	4.18	0.590	large subunit ribosomal protein L25
K17439	165.00	domain	all	0.959018	212	209	1323	499	5.26	0.590	large subunit ribosomal protein L35
K17440	74.43	full	trim	0.920185	151	132	394	143	3.64	0.590	large subunit ribosomal protein MRP49
K17441	558.73	domain	all	0.855175	599	597	8084	973	3.93	0.590	zinc finger protein ZFPM1
K17442	1043.23	full	all	0.991782	501	491	3767	1256	1.43	0.591	zinc finger protein ZFPM2
K17443	490.87	full	all	0.949779	535	497	1881	815	2.50	0.590	homrobox protein Hox-A10
K17444	397.90	domain	all	0.962474	398	335	974	465	1.96	0.590	homrobox protein Hox-C10
K17445	415.03	domain	trim	0.988889	95	91	877	521	1.22	0.591	insulin receptor substrate 3
K17446	1612.73	full	all	1.000000	151	150	1783	1271	0.82	0.592	insulin receptor substrate 4
K17447	801.60	full	all	0.965447	409	402	3082	703	1.43	0.590	SHC-transforming protein 2
K17448	773.67	full	all	0.982931	431	414	1617	645	1.00	0.589	SHC-transforming protein 3
K17449	682.37	full	all	0.940408	373	355	1406	646	1.79	0.590	SHC-transforming protein 4
K17450	1232.23	full	trim	0.954945	172	160	1616	800	0.70	0.589	homoaconitase [EC:4.2.1.-]
K17451	1351.97	full	trim	0.969373	433	370	1734	816	0.68	0.588	[histone H3]-lysine27 N-trimethyltransferase EZH1 [EC:2.1.1.356]
K17452	124.93	domain	all	0.998467	718	654	6613	553	3.88	0.590	zinc finger protein AEBP2
K17453	424.27	full	all	1.000000	185	179	1593	744	1.47	0.590	protein phosphatase 1 regulatory subunit 3F
K17454	455.53	full	all	0.988755	423	402	1333	506	1.35	0.590	transcription factor E2F1
K17455	788.57	domain	all	0.949280	559	528	1741	522	1.32	0.590	fascin2
K17456	449.63	full	all	0.997333	194	187	1014	498	1.10	0.591	fascin 3
K17457	889.30	full	trim	0.782839	397	389	2772	794	1.46	0.591	protein phosphatase 1 regulatory subunit 12C
K17458	685.63	full	all	0.896487	660	644	4345	837	3.33	0.590	protein phosphatase 1 regulatory subunit 16A
K17459	750.03	full	all	0.960937	445	397	1830	753	2.02	0.590	protein phosphatase 1 regulatory inhibitor subunit 16B
K17460	98.37	full	all	1.000000	506	437	1051	254	3.66	0.590	Bcl-2-modifying factor
K17461	179.10	domain	all	1.000000	719	704	4441	1061	2.94	0.590	reversion-inducing-cysteine-rich protein with kazal motifs
K17462	116.23	domain	all	0.955121	493	418	774	303	4.41	0.590	putative AdoMet-dependent methyltransferase [EC:2.1.1.-]
K17463	267.27	full	all	1.000000	142	98	258	247	0.93	0.590	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]
K17464	124.10	full	all	0.962022	156	79	189	137	2.16	0.590	D-glucosaminate PTS system EIIA component [EC:2.7.1.203]
K17465	164.73	full	all	0.894420	284	176	221	161	1.93	0.590	D-glucosaminate PTS system EIIB component [EC:2.7.1.203]
K17466	277.10	full	trim	0.845877	277	154	322	251	1.73	0.590	D-glucosaminate PTS system EIIC component
K17467	347.53	full	trim	0.817218	270	163	378	282	1.89	0.590	D-glucosaminate PTS system EIID component
K17468	495.47	full	all	0.962684	143	110	451	369	1.14	0.590	D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]
K17469	948.53	full	trim	0.978219	397	374	1415	674	0.87	0.590	sulfate transporter 2, low-affinity
K17470	990.33	full	all	0.989874	523	499	1232	658	0.70	0.591	sulfate transporter 1, high-affinity
K17471	1001.10	full	all	0.949615	1217	1164	1943	742	1.33	0.590	sulfate transporter 3
K17472	163.43	domain	all	0.835593	1395	1045	358	168	3.17	0.590	Rrf2 family transcriptional regulator, cysteine metabolism repressor
K17473	958.97	full	all	0.993939	120	82	1031	934	1.00	0.589	sigma-54 dependent transcriptional regulator, dga operon transcriptional activator
K17474	455.00	full	all	1.000000	45	32	443	406	0.86	0.589	pulcherriminic acid synthase [EC:1.14.15.13]
K17475	918.37	full	all	1.000000	5	5	571	549	0.55	0.588	tryprostatin B 6-hydroxylase [EC:1.14.14.118]
K17476	810.13	full	all	1.000000	8	8	398	398	0.46	0.589	pentalenolactone synthase [EC:1.14.19.8]
K17477	1635.07	full	all	0.952532	572	561	5285	1138	1.25	0.590	FERM, RhoGEF and pleckstrin domain-containing protein 1
K17478	392.73	full	all	0.996217	528	528	6208	1253	3.32	0.590	FK506-binding protein 15
K17479	74.23	domain	all	0.984769	2549	2401	5783	340	6.47	0.590	glutaredoxin domain-containing cysteine-rich protein 1
K17480	1118.43	full	all	0.972217	557	555	7670	1406	2.77	0.590	lemur tyrosine kinase 1 [EC:2.7.10.1]
K17481	1166.47	full	all	0.993166	439	438	7647	2084	1.95	0.590	myosin XVI
K17482	365.97	full	all	1.000000	149	142	883	393	1.59	0.591	spermatogenic leucine zipper protein 1
K17483	447.50	full	all	1.000000	88	57	476	399	1.02	0.590	mycocyclosin synthase [EC:1.14.19.70]
K17484	210.33	full	all	0.868109	124	95	723	423	2.54	0.590	cyclo(L-tyrosyl-L-tyrosyl) synthase [EC:2.3.2.21]
K17485	260.37	full	all	0.877451	40	28	283	233	1.68	0.591	cyclo(L-leucyl-L-leucyl) synthase [EC:2.3.2.22]
K17486	494.93	full	all	1.000000	73	73	415	367	0.72	0.590	dimethylsulfoniopropionate demethylase [EC:2.1.1.269]
K17487	214.40	full	all	1.000000	30	28	334	237	1.06	0.591	7,8-dihydroneopterin 2',3'-cyclic phosphate phosphodiesterase [EC:3.1.4.56]
K17488	211.83	domain	trim	0.977139	341	307	522	310	2.36	0.590	GTP cyclohydrolase IV [EC:3.5.4.39]
K17489	603.03	full	all	0.679536	277	186	601	343	2.95	0.590	methylmalonyl-CoA carboxyltransferase 12S subunit [EC:2.1.3.1]
K17490	139.20	domain	all	0.907407	129	77	179	123	1.59	0.590	methylmalonyl-CoA carboxyltransferase 1.3S subunit [EC:2.1.3.1]
K17491	84.23	domain	all	0.999115	1898	1693	10540	888	4.84	0.590	protein phosphatase 4 regulatory subunit 3
K17492	48.07	full	all	1.000000	1178	1163	9008	1077	5.60	0.590	ubinuclein
K17493	106.40	full	all	0.999732	1879	1864	14952	1350	5.09	0.590	calmodulin-regulated spectrin-associated protein
K17494	112.00	full	all	0.999074	1688	1619	7476	639	4.00	0.590	cysteine/serine-rich nuclear protein
K17495	1066.57	domain	all	0.982894	1366	1364	13724	3554	2.34	0.590	CUB and sushi domain-containing protein
K17496	211.53	full	all	0.984573	1274	1206	2687	430	4.61	0.590	mitochondrial import inner membrane translocase subunit TIM50
K17497	80.07	full	all	0.997081	1724	1537	2926	353	2.84	0.590	phosphomannomutase [EC:5.4.2.8]
K17498	69.00	full	all	0.993012	1253	1221	8111	670	7.08	0.590	transcription factor SPN1
K17499	337.17	domain	all	0.963322	1357	1266	4752	492	3.41	0.590	protein phosphatase 1G [EC:3.1.3.16]
K17500	264.90	full	trim	0.936503	750	699	3464	455	3.40	0.590	integrin-linked kinase-associated serine/threonine phosphatase 2C [EC:3.1.3.16]
K17501	606.43	full	all	0.901290	568	554	5664	775	3.72	0.590	protein phosphatase 1E [EC:3.1.3.16]
K17502	617.37	full	all	0.972960	431	419	1458	615	1.85	0.591	protein phosphatase 1F [EC:3.1.3.16]
K17503	776.60	full	all	0.844571	906	853	3417	681	2.20	0.590	protein phosphatase 1H [EC:3.1.3.16]
K17504	771.77	full	all	0.940106	273	254	1654	578	0.96	0.591	protein phosphatase 1J [EC:3.1.3.16]
K17505	276.33	full	all	0.997343	620	567	1031	484	2.21	0.590	protein phosphatase 1K [EC:3.1.3.16]
K17506	310.50	full	all	0.942164	3343	2968	6048	435	5.51	0.590	protein phosphatase 1L [EC:3.1.3.16]
K17507	530.30	full	all	0.996276	281	270	1030	469	0.76	0.590	protein phosphatase 1M [EC:3.1.3.16]
K17508	98.37	full	all	0.995101	2135	1834	5451	396	6.06	0.590	protein phosphatase PTC7 [EC:3.1.3.16]
K17509	798.17	full	all	0.991249	841	807	3949	1111	2.32	0.590	pyruvate dehydrogenase phosphatase regulatory subunit
K17510	328.27	domain	all	0.992179	656	644	1513	516	2.02	0.590	tyrosine-protein kinase STYK1 [EC:2.7.10.2]
K17511	1010.50	domain	all	0.858210	261	248	1604	559	1.18	0.589	proto-oncogene tyrosine-protein kinase YRK [EC:2.7.10.2]
K17512	824.37	full	all	0.922752	205	203	3528	946	2.17	0.590	tyrosine-protein kinase shark [EC:2.7.10.2]
K17513	266.17	domain	all	0.838056	250	244	2288	502	5.71	0.590	C-type lectin superfamily 17 member A
K17514	292.57	domain	trim	0.874457	129	122	442	222	2.24	0.590	C-type lectin domain family 6 member A
K17515	232.20	domain	all	0.913675	178	168	973	294	3.04	0.590	C-type lectin domain family 9 member A
K17516	257.03	domain	all	0.953713	175	171	616	349	2.39	0.590	C-type lectin domain family 12 member A
K17517	211.80	domain	all	0.872745	247	239	834	345	4.98	0.590	C-type lectin domain family 12 member B
K17518	237.30	full	all	0.882900	62	62	414	277	1.02	0.591	C-type lectin-like domain family 1
K17519	234.23	domain	trim	0.971077	452	409	822	263	3.89	0.590	C-type lectin domain family 3 member A
K17520	254.47	domain	all	0.978795	526	476	803	290	3.08	0.590	C-type lectin domain family 3 member B
K17521	163.83	domain	all	0.990595	343	323	1216	418	2.54	0.591	C-type lectin domain family 11 member A
K17522	-	-	-	-	1	1	145	145	0.38	0.595	galectin-5
K17523	619.40	domain	all	0.867548	286	279	1448	525	4.75	0.590	chitinase-3-like protein 1/2
K17524	642.57	domain	trim	0.612008	48	43	652	403	1.29	0.590	chitinase 3-like 3/4
K17525	97.87	domain	all	0.993182	1064	1029	3390	478	5.28	0.590	chitinase domain-containing protein 1
K17526	777.57	domain	all	0.976217	153	153	1870	724	1.29	0.589	oviduct-specific glycoprotein
K17527	59.80	domain	all	0.993980	757	751	2908	405	3.01	0.590	intelectin
K17528	238.50	domain	all	0.995556	231	226	1056	502	2.11	0.590	C-type lectin domain family 14 member A
K17529	339.73	domain	all	0.947940	709	693	3081	493	2.84	0.590	uncharacterized serine/threonine-protein kinase SgK494 [EC:2.7.11.1]
K17530	713.03	full	all	0.973753	454	447	3931	958	2.13	0.590	doublecortin-like kinase 3 [EC:2.7.11.1]
K17531	2479.27	domain	all	0.988822	542	542	59656	8434	1.81	0.589	obscurin-RhoGEF [EC:2.7.11.1]
K17532	549.47	full	all	0.993710	436	404	1470	525	1.16	0.591	STE20-related kinase adapter protein beta
K17533	447.73	domain	all	0.997475	402	401	3584	1585	3.04	0.590	mitogen-activated protein kinase kinase kinase 19 [EC:2.7.11.25]
K17534	1324.47	full	all	0.850490	458	453	2563	1040	1.48	0.590	mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]
K17535	453.40	domain	all	0.969032	488	465	4200	1022	3.74	0.590	serine/threonine-protein kinase TNNI3K [EC:2.7.11.1]
K17536	995.63	full	all	0.929296	900	855	7880	1091	2.62	0.590	connector enhancer of kinase suppressor of Ras 2
K17537	1074.73	full	all	0.987248	438	438	3607	1383	2.22	0.589	tyrosine-protein kinase SgK223 [EC:2.7.10.2]
K17538	1245.93	full	all	0.988369	437	434	3738	1694	2.47	0.590	pseudopodium-enriched atypical kinase 1 [EC:2.7.10.2]
K17539	507.07	full	trim	0.919334	459	265	1141	379	2.22	0.590	serine/threonine-protein kinase PDIK1L [EC:2.7.11.1]
K17540	286.37	domain	all	0.992840	423	422	5284	1449	6.53	0.590	inactive serine/threonine-protein kinase TEX14
K17541	303.87	full	all	0.994134	1404	1370	7155	1000	5.92	0.590	SCY1-like protein 2
K17542	300.17	full	all	0.997722	676	660	2873	812	4.06	0.590	SCY1-like protein 3
K17543	150.27	full	all	1.000000	899	869	4033	698	5.21	0.590	PX domain-containing protein kinase-like protein
K17544	177.50	domain	all	0.999304	745	720	6147	1000	4.04	0.590	TBC domain-containing protein kinase-like protein
K17545	457.97	full	trim	0.993426	693	687	5402	1364	4.67	0.590	serine/threonine-protein kinase ULK4 [EC:2.7.11.1]
K17546	265.17	domain	all	0.995757	353	352	3267	795	2.45	0.590	serine/threonine kinase-like domain-containing protein STKLD1
K17547	175.50	full	all	1.000000	531	513	1699	436	2.65	0.590	glycoprotein-mannosyl O6-kinase [EC:2.7.1.183]
K17548	147.23	full	all	0.997906	738	715	2812	586	3.73	0.590	extracellular tyrosine-protein kinase PKDCC&#160; [EC:2.7.10.2]
K17549	154.37	full	all	0.986192	422	364	730	257	3.52	0.590	protein phosphatase 1 regulatory subunit 1C
K17550	186.10	domain	all	0.921499	1369	1298	3518	402	9.19	0.590	protein phosphatase 1 regulatory subunit 7
K17551	169.13	domain	all	0.996546	1611	1593	12772	1255	4.24	0.590	neurabin
K17552	131.00	full	all	1.000000	631	607	6231	788	4.89	0.590	protein phosphatase 1 regulatory subunit 10
K17553	34.80	full	all	0.960201	1092	944	1437	179	7.18	0.590	protein phosphatase 1 regulatory subunit 11
K17554	1051.07	full	all	0.842638	784	778	7286	1002	2.79	0.590	apoptosis-stimulating of p53 protein 1
K17555	194.70	full	all	0.631733	855	643	1158	250	5.62	0.590	protein phosphatase 1 regulatory subunit 14B
K17556	196.00	full	all	0.943645	384	319	656	163	1.87	0.590	protein phosphatase 1 regulatory subunit 14C
K17557	140.60	full	trim	0.991257	265	231	814	297	2.68	0.590	protein phosphatase 1 regulatory subunit 14D
K17558	172.70	full	trim	0.970617	589	585	3017	577	6.29	0.590	protein phosphatase 1 regulatory subunit 15B
K17559	293.30	full	all	0.977027	306	300	3624	942	3.50	0.590	phostensin
K17560	62.83	full	all	0.981904	994	978	5654	505	9.53	0.590	unconventional prefoldin RPB5 interactor 1
K17561	652.37	full	all	1.000000	152	151	2006	852	1.48	0.590	coiled-coil domain-containing protein 8
K17562	126.90	full	all	1.000000	710	689	3048	828	5.28	0.590	protein phosphatase 1 regulatory subunit 21
K17563	227.17	full	all	0.748118	798	764	3677	322	4.26	0.590	MICOS complex subunit MIC19
K17564	253.90	full	all	0.943361	542	531	1889	328	4.30	0.590	MICOS complex subunit MIC25
K17565	381.67	full	all	1.000000	437	435	3435	1223	4.80	0.590	protein phosphatase 1 regulatory subunit 26
K17566	156.80	domain	all	0.964868	648	561	1091	286	4.08	0.590	protein phosphatase 1 regulatory subunit 27
K17567	1029.00	full	all	0.983276	572	548	2133	825	1.31	0.590	protein phosphatase 1 regulatory subunit 28
K17568	886.70	domain	all	0.994324	566	529	2207	1095	1.00	0.591	protein phosphatase 1 regulatory subunit 29
K17569	84.67	full	all	0.997484	1255	1193	5241	582	7.54	0.590	G patch domain-containing protein 2
K17570	357.20	domain	all	0.991880	675	674	25546	4815	5.24	0.590	hydrocephalus-inducing protein
K17571	70.03	full	all	1.000000	362	353	1734	529	5.03	0.590	protein phosphatase 1 regulatory subunit 32
K17572	419.93	full	all	1.000000	651	647	9636	2033	2.25	0.590	brefeldin A-inhibited guanine nucleotide-exchange protein 3
K17573	300.90	full	all	0.989597	690	680	7999	1308	5.34	0.590	meiosis arrest female protein 1
K17574	76.23	full	all	1.000000	362	345	1419	287	5.12	0.590	protein phosphatase 1 regulatory subunit 35
K17575	61.80	full	all	0.997481	611	594	2650	495	6.50	0.590	protein phosphatase 1 regulatory subunit 36
K17576	183.97	domain	trim	0.994550	652	643	9870	869	4.56	0.590	protein phosphatase 1 regulatory subunit 37
K17577	155.10	full	all	0.994615	658	651	2385	547	4.62	0.590	SH2 domain-containing protein 4A
K17578	96.63	domain	all	0.989038	669	641	2178	384	4.20	0.590	zinc finger CCHC domain-containing protein 9
K17579	153.53	domain	trim	0.994222	631	610	2606	519	4.57	0.590	protein phosphatase 1 regulatory subunit 42
K17580	133.47	full	all	0.998117	797	795	6676	826	7.75	0.590	cancer susceptibility candidate protein 1
K17581	198.57	full	all	1.000000	549	548	2923	693	3.60	0.590	consortin
K17582	80.83	domain	all	0.988889	451	451	23592	2222	9.31	0.590	antigen KI-67
K17583	196.03	domain	all	0.988574	1107	1101	9317	904	5.25	0.590	nucleolar MIF4G domain-containing protein 1
K17584	125.77	full	all	1.000000	760	706	6070	792	3.84	0.590	phosphorylated CTD-interacting factor 1
K17586	189.87	full	all	1.000000	587	585	10532	1566	5.94	0.590	PHD and RING finger domain-containing protein 1
K17587	125.07	full	all	1.000000	152	140	534	301	2.15	0.591	transmembrane protein 225
K17588	2416.97	full	trim	0.961298	425	411	3640	1608	0.86	0.589	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein
K17589	315.47	full	all	1.000000	670	663	5994	1299	4.06	0.590	RB1-inducible coiled-coil protein 1
K17590	202.93	full	all	1.000000	417	417	4095	904	5.36	0.590	cell division cycle-associated protein 2
K17591	1160.13	full	all	0.886384	891	878	13989	1311	2.94	0.590	RIMS-binding protein 2
K17592	199.47	full	all	0.999032	1034	1033	20067	4533	4.39	0.590	sacsin
K17593	264.80	domain	all	0.991667	360	357	2142	906	2.32	0.590	ankyrin repeat domain-containing protein 42
K17594	74.23	full	all	0.999788	2415	2361	9316	616	3.32	0.590	phosphatase and actin regulator
K17595	136.97	domain	all	0.877307	1340	1305	5148	747	11.38	0.590	spermatogenesis-associated protein 2
K17596	584.53	full	all	1.000000	165	164	3358	1302	2.82	0.590	SPOC domain-containing protein 1
K17597	241.97	full	all	0.994358	1141	1067	5504	701	3.66	0.590	double-stranded RNA-binding protein Staufen
K17598	271.50	full	trim	0.974040	2554	2506	15504	823	6.35	0.590	synaptotagmin-like protein
K17599	177.13	domain	all	0.998609	2528	2512	12731	1105	3.78	0.590	transmembrane protein 132
K17600	183.93	full	all	0.998696	1179	1149	7490	1072	8.36	0.590	vacuolar protein sorting-associated protein 54
K17601	392.07	full	all	1.000000	862	854	7584	1783	3.59	0.590	WD repeat-containing protein 81
K17602	189.13	full	all	0.998009	770	755	17942	1319	4.68	0.590	YLP motif-containing protein 1
K17603	247.97	full	all	0.998261	915	861	3646	805	1.34	0.590	zinc finger FYVE domain-containing protein 1
K17604	179.53	full	all	0.983703	1054	1015	6344	1453	7.07	0.590	zinc finger SWIM domain-containing protein 3
K17605	97.43	full	all	0.998885	1434	1344	3872	441	3.03	0.590	serine/threonine-protein phosphatase 2A activator
K17606	77.37	domain	all	0.998781	1286	1229	3069	522	7.45	0.590	immunoglobulin-binding protein 1
K17607	66.87	full	all	0.995287	1162	1057	3251	328	4.04	0.590	type 2A phosphatase activator TIP41
K17608	186.87	domain	all	0.995818	1792	1683	8185	777	3.24	0.590	striatin 1/3/4
K17609	51.00	domain	all	0.987544	2140	2001	7612	418	8.70	0.590	nucleoredoxin [EC:1.8.1.8]
K17610	287.00	full	all	0.911847	810	493	1065	292	3.43	0.590	calcineurin B homologous protein 1
K17611	320.40	full	all	0.933845	316	275	1044	279	1.99	0.589	calcineurin B homologous protein 2
K17612	155.37	full	all	0.991287	591	512	1706	301	1.77	0.590	calcineurin B homologous protein 3
K17613	298.40	full	all	1.000000	804	798	17197	1909	5.00	0.590	calcineurin-binding protein cabin-1
K17614	239.37	domain	all	0.926859	688	592	1472	287	3.05	0.590	dual specificity phosphatase 3 [EC:3.1.3.16 3.1.3.48]
K17615	492.27	full	all	0.905750	205	183	1015	390	1.57	0.590	serine/threonine-protein phosphatase PPG1 [EC:3.1.3.16]
K17616	286.17	full	all	0.935186	1648	1533	4906	573	6.66	0.590	CTD small phosphatase-like protein 2 [EC:3.1.3.-]
K17617	240.63	domain	trim	0.964043	956	682	3120	373	3.71	0.590	CTD nuclear envelope phosphatase 1 [EC:3.1.3.16]
K17618	148.93	domain	all	0.995082	971	709	2807	625	3.33	0.590	ubiquitin-like domain-containing CTD phosphatase 1 [EC:3.1.3.16]
K17619	60.43	full	all	0.996344	1022	955	1884	244	6.07	0.590	magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-]
K17620	939.30	full	all	0.951891	430	410	1801	646	0.89	0.590	eyes absent homolog 2 [EC:3.1.3.48]
K17621	834.47	full	all	0.979362	433	394	1567	615	0.86	0.591	eyes absent homolog 3 [EC:3.1.3.48]
K17622	1080.03	full	all	0.883058	518	481	2219	687	1.04	0.591	eyes absent homolog 4 [EC:3.1.3.48]
K17623	229.97	full	all	0.738630	1469	1414	3754	346	5.36	0.590	pseudouridine 5'-phosphatase [EC:3.1.3.96]
K17624	761.00	full	all	1.000000	266	253	6151	1653	3.75	0.590	endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]
K17625	411.23	full	all	0.603643	8	8	329	288	1.10	0.589	dTDP-4-keto-6-deoxyhexose reductase [EC:1.1.1.-]
K17626	-	-	-	-	2	2	95	95	0.44	0.597	clorobiocin biosynthesis protein CloN1
K17630	1090.43	full	all	0.964768	340	336	2954	896	1.09	0.589	Ras GTPase-activating protein 4
K17631	1683.37	full	all	0.976051	528	492	5419	1327	1.07	0.589	Ras/Rap GTPase-activating protein SynGAP
K17632	1146.60	full	all	0.941878	426	425	3471	924	1.61	0.590	RAS protein activator-like 1
K17633	1462.10	full	all	0.792559	601	596	8094	1231	2.17	0.591	RAS protein activator-like 2
K17634	934.70	full	all	0.982307	235	232	2673	1040	1.21	0.591	RAS protein activator-like 3
K17635	948.00	full	all	0.694290	1035	1005	5559	824	2.66	0.590	ral guanine nucleotide dissociation stimulator-like 1
K17636	818.43	full	all	0.967782	352	341	2759	806	1.28	0.590	ral guanine nucleotide dissociation stimulator-like 2
K17637	233.43	full	all	0.995064	1151	1120	6430	1176	7.59	0.590	exocyst complex component 2
K17638	766.87	full	trim	0.893792	458	434	2105	828	2.03	0.590	Ras and Rab interactor 1
K17639	993.60	full	all	0.954627	171	168	1773	883	1.40	0.590	ral guanine nucleotide dissociation stimulator-like 3
K17640	495.97	full	all	0.739147	297	293	734	347	1.96	0.589	LacI family transcriptional regulator, xylobiose transport system transcriptional regulator
K17641	918.80	full	all	0.946751	807	778	2080	878	2.04	0.590	beta-xylosidase
K17642	1333.37	domain	trim	0.302028	42	39	1165	663	0.67	0.591	ATP-dependent RNA helicase DDX3Y [EC:5.6.2.7]
K17643	228.27	full	all	1.000000	7	7	205	163	0.60	0.592	noranthrone monooxygenase [EC:1.13.12.20]
K17644	190.00	domain	all	1.000000	104	101	418	249	1.69	0.590	norsolorinic acid ketoreductase [EC:1.1.1.349]
K17645	889.77	full	all	0.952381	10	10	535	483	0.49	0.593	averantin hydroxylase [EC:1.14.14.116]
K17646	763.33	domain	all	1.000000	15	15	916	653	0.77	0.591	5'-oxoaverantin cyclase / versicolorin B synthase [EC:4.2.1.142 4.2.1.143]
K17647	686.67	full	all	1.000000	4	4	375	343	0.44	0.591	versiconal hemiacetal acetate reductase [EC:1.1.1.353]
K17648	317.83	domain	all	0.989899	53	53	443	321	1.69	0.590	versiconal hemiacetal acetate esterase [EC:3.1.1.94]
K17649	383.83	full	all	0.943355	26	26	522	383	1.51	0.590	demethylsterigmatocystin 6-O-methyltransferase [EC:2.1.1.109]
K17650	543.87	full	all	1.000000	7	7	474	416	0.67	0.588	sterigmatocystin 8-O-methyltransferase [EC:2.1.1.110]
K17651	947.67	full	all	1.000000	4	4	532	528	0.50	0.593	aflatoxin B synthase [EC:1.14.14.117]
K17652	346.90	full	all	1.000000	15	15	373	306	0.79	0.589	5'-hydroxyaverantin dehydrogenase [EC:1.1.1.352]
K17653	145.47	full	all	0.994536	651	640	1650	455	6.43	0.590	dimethyladenosine transferase 2, mitochondrial [EC:2.1.1.-]
K17654	235.63	full	all	0.974980	748	734	2264	513	5.38	0.590	mitochondrial ribonuclease P protein 1 [EC:2.1.1.-]
K17655	261.00	full	all	0.937914	735	724	2948	558	7.84	0.590	mitochondrial ribonuclease P protein 3
K17656	149.70	full	trim	0.950895	1000	975	3353	585	8.37	0.590	mitochondrial splicing suppressor protein 51
K17657	432.27	full	all	0.888889	5	5	502	388	0.81	0.587	mitochondrial RNA-splicing protein MRS1
K17658	102.97	domain	all	0.995316	550	534	1369	507	7.24	0.590	transcription elongation factor, mitochondrial
K17659	172.83	domain	all	1.000000	698	696	2331	722	4.76	0.590	pentatricopeptide repeat domain-containing protein 3
K17660	114.57	full	all	1.000000	21	21	1048	644	2.62	0.590	cytochrome b pre-mRNA-processing protein 1
K17661	283.50	full	all	1.000000	16	16	933	634	2.17	0.589	cytochrome b pre-mRNA-processing protein 2
K17662	39.43	full	all	0.989841	1747	1617	3761	337	10.78	0.590	cytochrome b pre-mRNA-processing protein 3
K17663	73.07	full	trim	0.994709	97	82	196	136	2.01	0.590	cytochrome b pre-mRNA-processing protein 6
K17664	92.00	full	all	1.000000	16	16	332	217	2.57	0.590	cytochrome b translational activator protein CBS1, mitochondrial
K17665	287.90	full	trim	0.661831	50	43	791	432	3.54	0.590	cytochrome b translational activator protein CBS2, mitochondrial
K17666	136.07	full	all	1.000000	34	34	578	300	2.87	0.590	protein PET54, mitochondrial
K17667	298.53	full	all	0.984127	32	32	1317	775	5.03	0.590	protein PET111, mitochondrial
K17668	232.90	full	all	1.000000	21	20	364	278	1.54	0.589	protein PET122, mitochondrial
K17669	202.50	domain	all	0.964401	154	153	3682	1151	13.74	0.590	pentatricopeptide repeat-containing protein PET309
K17670	255.93	full	all	1.000000	20	20	756	457	1.88	0.590	COX3 mRNA-specific translational activator PET494
K17671	175.63	full	all	1.000000	18	18	789	492	2.77	0.590	ATPase expression protein 1, mitochondrial
K17672	170.23	full	all	1.000000	38	38	1004	560	5.26	0.590	ATPase expression protein 2, mitochondrial
K17673	369.60	full	all	0.985507	35	35	1026	713	4.35	0.590	mitochondrial translation factor ATP22
K17674	277.00	full	all	1.000000	27	27	1257	881	3.77	0.590	protein SOV1, mitochondrial
K17675	158.30	full	all	0.993822	2715	2603	9410	832	6.06	0.590	ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:5.6.2.6]
K17676	140.00	full	all	1.000000	96	96	1231	381	4.39	0.590	cruciform cutting endonuclease 1 [EC:3.1.21.10]
K17677	443.73	full	all	0.962147	192	188	2691	707	2.87	0.590	ATP-dependent helicase IRC3 [EC:5.6.2.-]
K17678	348.97	domain	all	0.996885	166	163	3904	947	3.04	0.590	ATP-dependent RNA helicase MRH4, mitochondrial [EC:5.6.2.7]
K17679	444.30	domain	all	0.963439	329	326	4468	749	3.48	0.590	ATP-dependent RNA helicase MSS116, mitochondrial [EC:5.6.2.7]
K17680	276.80	full	all	0.959280	1270	1225	6620	911	9.08	0.590	twinkle protein [EC:5.6.2.3]
K17681	202.30	full	all	0.999214	1319	1274	4982	694	2.44	0.590	ATPase family AAA domain-containing protein 3A/B
K17682	83.77	full	all	0.919608	541	458	652	168	4.07	0.590	mitochondrial nucleoid factor 1
K17683	1144.07	full	all	0.822222	10	10	499	494	0.46	0.586	cytochrome P450 family 2 subfamily A6 [EC:1.14.14.-]
K17685	1013.63	domain	all	0.648352	80	80	667	494	1.04	0.591	cytochrome P450 family 2 subfamily A13 [EC:1.14.14.1]
K17686	793.63	full	all	0.817946	13556	12567	23614	919	4.69	0.590	P-type Cu+ transporter [EC:7.2.2.8]
K17687	1056.13	domain	trim	0.743774	48	42	651	519	0.50	0.589	cytochrome P450 family 4 subfamily A11 [EC:1.14.14.1]
K17689	1113.40	full	all	0.847368	34	34	515	503	0.45	0.593	cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]
